sample_id,dataset,level,issue_type,severity,message,image_path,transcription,suggested_action
cyr_word_008658,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008658_ahh2956.png,Капитал,manual_review
cyr_word_008660,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008660_ahh2958.png,трудом,manual_review
cyr_word_008662,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008662_ahh2960.png,Прибыль,manual_review
cyr_phrase_008663,cyrillic_handwriting,phrase,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008663_ahh2961.png,доходы минус,manual_review
cyr_word_008664,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008664_ahh2964.png,Чистая,manual_review
cyr_word_008665,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008665_ahh2965.png,прибыль,manual_review
cyr_word_008666,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008666_ahh2967.png,кол-ва,manual_review
cyr_word_008667,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008667_ahh2968.png,Девиденды,manual_review
cyr_word_008668,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008668_ahh2969.png,человек,manual_review
cyr_word_008669,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008669_ahh2973.png,показа,manual_review
cyr_word_008670,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008670_ahh2975.png,какое,manual_review
cyr_word_008671,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008671_ahh2976.png,кол-во,manual_review
cyr_word_008672,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008672_ahh2978.png,выработку,manual_review
cyr_word_008674,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008674_ahh2981.png,фактор,manual_review
cyr_word_008675,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008675_ahh2985.png,единицы,manual_review
cyr_word_008676,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008676_ahh2986.png,продукций,manual_review
cyr_word_008677,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008677_ahh2987.png,выработка,manual_review
cyr_word_008678,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008678_ahh2988.png,рабочая,manual_review
cyr_word_008679,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008679_ahh2989.png,сила,manual_review
cyr_word_008680,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008680_ahh2990.png,способность,manual_review
cyr_word_008681,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008681_ahh2991.png,чел-ка,manual_review
cyr_word_008683,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008683_ahh2994.png,способность,manual_review
cyr_word_008684,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008684_ahh2996.png,сил,manual_review
cyr_word_008687,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008687_ahh3002.png,деятель,manual_review
cyr_word_008689,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008689_ahh3005.png,кости,manual_review
cyr_word_008691,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008691_ahh3011.png,эконом,manual_review
cyr_word_008692,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008692_ahh3012.png,ресурсы,manual_review
cyr_word_008693,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008693_ahh3013.png,природные,manual_review
cyr_word_008695,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008695_ahh3015.png,технические,manual_review
cyr_word_008696,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008696_ahh3017.png,расчитывает,manual_review
cyr_word_008699,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008699_ahh3022.png,чем,manual_review
cyr_word_008700,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008700_ahh3023.png,необходимо,manual_review
cyr_word_008701,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008701_ahh3025.png,показателями,manual_review
cyr_word_008702,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008702_ahh3027.png,лет,manual_review
cyr_word_008703,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008703_ahh3030.png,Выроботка,manual_review
cyr_word_008704,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008704_ahh3031.png,прямой,manual_review
cyr_word_008705,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008705_ahh3032.png,показатель,manual_review
cyr_word_008706,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008706_ahh3033.png,кол-во,manual_review
cyr_word_008708,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008708_ahh3038.png,единицу,manual_review
cyr_word_008709,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008709_ahh3040.png,одного,manual_review
cyr_word_008710,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008710_ahh3042.png,теория,manual_review
cyr_word_008711,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008711_ahh3043.png,изучает,manual_review
cyr_word_008712,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008712_ahh3044.png,законо,manual_review
cyr_word_008715,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008715_ahh3049.png,расходы,manual_review
cyr_word_008716,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008716_ahh3050.png,время,manual_review
cyr_word_008717,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008717_ahh3051.png,труда,manual_review
cyr_word_008718,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008718_ahh3056.png,матер,manual_review
cyr_word_008719,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008719_ahh3059.png,правило,manual_review
cyr_word_008721,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008721_ahh3060.png,удовл,manual_review
cyr_word_008722,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008722_ahh3064.png,времени,manual_review
cyr_word_008723,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008723_ahh3066.png,Сколько,manual_review
cyr_word_008725,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008725_ahh3069.png,цене,manual_review
cyr_word_008727,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008727_ahh3070.png,Образова,manual_review
cyr_word_008729,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008729_ahh3074.png,Для,manual_review
cyr_word_008730,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008730_ahh3076.png,ская,manual_review
cyr_word_008731,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008731_ahh3077.png,прикладная,manual_review
cyr_word_008733,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008733_ahh3080.png,налоги,manual_review
cyr_word_008734,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008734_ahh3081.png,Методы,manual_review
cyr_word_008735,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008735_ahh3082.png,экономич,manual_review
cyr_word_008736,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008736_ahh3084.png,ские,manual_review
cyr_word_008737,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008737_ahh3085.png,Наблюдение,manual_review
cyr_word_008738,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008738_ahh3087.png,Налог,manual_review
cyr_word_008739,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008739_ahh3088.png,частичное,manual_review
cyr_word_008740,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008740_ahh3089.png,изъятие,manual_review
cyr_word_008742,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008742_ahh3090.png,кых,manual_review
cyr_word_008743,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008743_ahh3092.png,польз,manual_review
cyr_word_008744,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008744_ahh3093.png,гос-,manual_review
cyr_word_008745,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008745_ahh3095.png,Эксперимент,manual_review
cyr_word_008747,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008747_ahh3099.png,Моделирование,manual_review
cyr_word_008751,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008751_ahh3105.png,Империческая,manual_review
cyr_word_008753,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008753_ahh3109.png,деление,manual_review
cyr_word_008756,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008756_ahh3116.png,Сикте,manual_review
cyr_word_008759,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008759_ahh3124.png,подход,manual_review
cyr_word_008760,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008760_ahh3125.png,Ученые,manual_review
cyr_word_008761,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008761_ahh3128.png,этом,manual_review
cyr_word_008762,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008762_ahh3129.png,Индукция,manual_review
cyr_word_008764,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008764_ahh3130.png,Дедукции,manual_review
cyr_word_008765,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008765_ahh3131.png,выводы,manual_review
cyr_word_008766,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008766_ahh3132.png,строятся,manual_review
cyr_word_008767,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008767_ahh3133.png,эконом,manual_review
cyr_word_008768,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008768_ahh3134.png,Исто,manual_review
cyr_word_008769,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008769_ahh3135.png,ским,manual_review
cyr_word_008770,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008770_ahh3137.png,Логический,manual_review
cyr_word_008773,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008773_ahh3141.png,Графический,manual_review
cyr_word_008774,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008774_ahh3142.png,Теоритическая,manual_review
cyr_word_008775,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008775_ahh3143.png,после,manual_review
cyr_word_008776,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008776_ahh3144.png,Метод,manual_review
cyr_word_008777,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008777_ahh3145.png,научных,manual_review
cyr_word_008780,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008780_ahh3153.png,данных,manual_review
cyr_word_008781,cyrillic_handwriting,word,duplicate_exact,warning,duplicate_exact,data/processed/cyrillic_handwriting/images/cyr_008781_ahh3154.png,или,manual_review
