group_id,group_size,splits_source,num_unique_transcriptions,transcriptions,sample_ids,source_ids
8012,2,train_source,1,капитал,cyr_word_008013 | cyr_word_008658,ahh1268.png | ahh2956.png
8013,2,train_source,1,трудом,cyr_word_008014 | cyr_word_008660,ahh1270.png | ahh2958.png
8014,2,train_source,1,прибыль,cyr_word_008015 | cyr_word_008662,ahh1272.png | ahh2960.png
8015,2,train_source,1,доходы минус,cyr_phrase_008016 | cyr_phrase_008663,ahh1273.png | ahh2961.png
8016,2,train_source,1,чистая,cyr_word_008017 | cyr_word_008664,ahh1276.png | ahh2964.png
8017,2,train_source,1,прибыль,cyr_word_008018 | cyr_word_008665,ahh1277.png | ahh2965.png
8018,2,train_source,1,кол-ва,cyr_word_008019 | cyr_word_008666,ahh1279.png | ahh2967.png
8020,2,train_source,1,девиденды,cyr_word_008021 | cyr_word_008667,ahh1280.png | ahh2968.png
8021,2,train_source,1,человек,cyr_word_008022 | cyr_word_008668,ahh1281.png | ahh2969.png
8023,2,train_source,2,показа || показь,cyr_word_008024 | cyr_word_008669,ahh1285.png | ahh2973.png
8024,2,train_source,1,какое,cyr_word_008025 | cyr_word_008670,ahh1287.png | ahh2975.png
8025,2,train_source,1,кол-во,cyr_word_008026 | cyr_word_008671,ahh1288.png | ahh2976.png
8026,2,train_source,1,выработку,cyr_word_008027 | cyr_word_008672,ahh1290.png | ahh2978.png
8027,2,train_source,1,фактор,cyr_word_008028 | cyr_word_008674,ahh1293.png | ahh2981.png
8028,2,train_source,1,единицы,cyr_word_008029 | cyr_word_008675,ahh1297.png | ahh2985.png
8029,2,train_source,1,продукций,cyr_word_008030 | cyr_word_008676,ahh1298.png | ahh2986.png
8030,2,train_source,1,выработка,cyr_word_008031 | cyr_word_008677,ahh1299.png | ahh2987.png
8032,2,train_source,1,рабочая,cyr_word_008033 | cyr_word_008678,ahh1300.png | ahh2988.png
8033,2,train_source,1,сила,cyr_word_008034 | cyr_word_008679,ahh1301.png | ahh2989.png
8034,2,train_source,1,способность,cyr_word_008035 | cyr_word_008680,ahh1302.png | ahh2990.png
8035,2,train_source,1,чел-ка,cyr_word_008036 | cyr_word_008681,ahh1303.png | ahh2991.png
8036,2,train_source,1,способность,cyr_word_008037 | cyr_word_008683,ahh1306.png | ahh2994.png
8037,2,train_source,1,сил,cyr_word_008038 | cyr_word_008684,ahh1308.png | ahh2996.png
8040,2,train_source,1,деятель,cyr_word_008041 | cyr_word_008687,ahh1314.png | ahh3002.png
8042,2,train_source,1,кости,cyr_word_008043 | cyr_word_008689,ahh1317.png | ahh3005.png
8044,2,train_source,1,эконом,cyr_word_008045 | cyr_word_008691,ahh1323.png | ahh3011.png
8045,2,train_source,1,ресурсы,cyr_word_008046 | cyr_word_008692,ahh1324.png | ahh3012.png
8046,2,train_source,1,природные,cyr_word_008047 | cyr_word_008693,ahh1325.png | ahh3013.png
8047,2,train_source,1,технические,cyr_word_008048 | cyr_word_008695,ahh1327.png | ahh3015.png
8048,2,train_source,1,расчитывает,cyr_word_008049 | cyr_word_008696,ahh1329.png | ahh3017.png
8049,2,train_source,1,чем,cyr_word_008050 | cyr_word_008699,ahh1334.png | ahh3022.png
8050,2,train_source,1,необходимо,cyr_word_008051 | cyr_word_008700,ahh1335.png | ahh3023.png
8051,2,train_source,1,показателями,cyr_word_008052 | cyr_word_008701,ahh1337.png | ahh3025.png
8052,2,train_source,1,лет,cyr_word_008053 | cyr_word_008702,ahh1339.png | ahh3027.png
8053,2,train_source,1,выроботка,cyr_word_008054 | cyr_word_008703,ahh1342.png | ahh3030.png
8054,2,train_source,1,прямой,cyr_word_008055 | cyr_word_008704,ahh1343.png | ahh3031.png
8055,2,train_source,1,показатель,cyr_word_008056 | cyr_word_008705,ahh1344.png | ahh3032.png
8056,2,train_source,1,кол-во,cyr_word_008057 | cyr_word_008706,ahh1345.png | ahh3033.png
8057,2,train_source,1,единицу,cyr_word_008058 | cyr_word_008708,ahh1350.png | ahh3038.png
8058,2,train_source,1,одного,cyr_word_008059 | cyr_word_008709,ahh1352.png | ahh3040.png
8059,2,train_source,1,теория,cyr_word_008060 | cyr_word_008710,ahh1354.png | ahh3042.png
8060,2,train_source,1,изучает,cyr_word_008061 | cyr_word_008711,ahh1355.png | ahh3043.png
8061,2,train_source,2,закон о || законо,cyr_phrase_008062 | cyr_word_008712,ahh1356.png | ahh3044.png
8062,2,train_source,1,расходы,cyr_word_008063 | cyr_word_008715,ahh1361.png | ahh3049.png
8063,2,train_source,1,время,cyr_word_008064 | cyr_word_008716,ahh1362.png | ahh3050.png
8064,2,train_source,1,труда,cyr_word_008065 | cyr_word_008717,ahh1363.png | ahh3051.png
8065,2,train_source,1,матер,cyr_word_008066 | cyr_word_008718,ahh1368.png | ahh3056.png
8067,2,train_source,1,правило,cyr_word_008068 | cyr_word_008719,ahh1371.png | ahh3059.png
8068,2,train_source,1,удовл,cyr_word_008069 | cyr_word_008721,ahh1372.png | ahh3060.png
8069,2,train_source,1,времени,cyr_word_008070 | cyr_word_008722,ahh1376.png | ahh3064.png
8072,2,train_source,1,товар,cyr_word_008073 | cyr_word_009154,ahh1379.png | ahh3841.png
8074,2,train_source,1,история,cyr_word_008075 | cyr_word_009155,ahh1380.png | ahh3842.png
8076,2,train_source,1,эконом,cyr_word_008077 | cyr_word_009156,ahh1382.png | ahh3844.png
8077,2,train_source,1,теории,cyr_word_008078 | cyr_word_009157,ahh1383.png | ahh3845.png
8078,2,train_source,1,деньги,cyr_word_008079 | cyr_word_009158,ahh1384.png | ahh3846.png
8079,2,train_source,1,этапы развития,cyr_phrase_008080 | cyr_phrase_009159,ahh1385.png | ahh3847.png
8080,2,train_source,1,эконом,cyr_word_008081 | cyr_word_009160,ahh1386.png | ahh3848.png
8081,2,train_source,1,теории:,cyr_word_008082 | cyr_word_009161,ahh1387.png | ahh3849.png
8082,2,train_source,1,объекта,cyr_word_008083 | cyr_word_009163,ahh1388.png | ahh3850.png
8083,2,train_source,1,анализ,cyr_word_008084 | cyr_word_009164,ahh1389.png | ahh3851.png
8084,2,train_source,1,синтез,cyr_word_008085 | cyr_word_009165,ahh1390.png | ahh3852.png
8085,2,train_source,1,изучение,cyr_word_008086 | cyr_word_009166,ahh1391.png | ahh3853.png
8086,2,train_source,1,целом,cyr_word_008087 | cyr_word_009167,ahh1392.png | ahh3854.png
8087,2,train_source,1,мерконтимум,cyr_word_008088 | cyr_word_009168,ahh1393.png | ahh3855.png
8088,2,train_source,1,классическая,cyr_word_008089 | cyr_word_009169,ahh1394.png | ahh3856.png
8089,2,train_source,1,экономикс,cyr_word_008090 | cyr_word_009170,ahh1397.png | ahh3859.png
8090,2,train_source,1,политиче,cyr_word_008091 | cyr_word_009172,ahh1398.png | ahh3860.png
8094,2,train_source,1,5-17,cyr_word_008095 | cyr_word_009174,ahh1402.png | ahh3864.png
8095,2,train_source,1,как,cyr_word_008096 | cyr_word_009176,ahh1407.png | ahh3869.png
8096,2,train_source,1,сумма,cyr_word_008097 | cyr_word_009177,ahh1408.png | ahh3870.png
8098,2,train_source,1,мые,cyr_word_008099 | cyr_word_009179,ahh1412.png | ahh3874.png
8099,2,train_source,1,экономиче,cyr_word_008100 | cyr_word_009181,ahh1414.png | ahh3876.png
8101,2,train_source,1,теория,cyr_word_008102 | cyr_word_009182,ahh1417.png | ahh3879.png
8102,2,train_source,1,основная,cyr_word_008103 | cyr_word_009184,ahh1418.png | ahh3880.png
8106,2,train_source,1,россия,cyr_word_008107 | cyr_word_009185,ahh1421.png | ahh3883.png
8107,2,train_source,1,капитар,cyr_word_008108 | cyr_word_009186,ahh1423.png | ahh3885.png
8108,2,train_source,1,тома,cyr_word_008109 | cyr_word_009187,ahh1424.png | ahh3886.png
8109,2,train_source,1,при жизни,cyr_phrase_008110 | cyr_phrase_009188,ahh1425.png | ahh3887.png
8110,2,train_source,1,изучает,cyr_word_008111 | cyr_word_009189,ahh1426.png | ahh3888.png
8113,2,train_source,1,индукция,cyr_word_008114 | cyr_word_009192,ahh1430.png | ahh3892.png
8114,2,train_source,1,лизм,cyr_word_008115 | cyr_word_009194,ahh1433.png | ahh3895.png
8115,2,train_source,1,деньги,cyr_word_008116 | cyr_word_009195,ahh1434.png | ahh3896.png
8116,2,train_source,1,частные,cyr_word_008117 | cyr_word_009197,ahh1436.png | ahh3898.png
8117,2,train_source,1,акты,cyr_word_008118 | cyr_word_009198,ahh1437.png | ahh3899.png
8118,2,train_source,1,частные,cyr_word_008119 | cyr_word_009200,ahh1438.png | ahh3900.png
8119,2,train_source,1,этого,cyr_word_008120 | cyr_word_009201,ahh1440.png | ahh3902.png
8120,2,train_source,1,богатства,cyr_word_008121 | cyr_word_009202,ahh1441.png | ahh3903.png
8121,2,train_source,1,выводы,cyr_word_008122 | cyr_word_009203,ahh1443.png | ahh3905.png
8122,2,train_source,1,средства,cyr_word_008123 | cyr_word_009204,ahh1444.png | ahh3906.png
8123,2,train_source,1,ращения,cyr_word_008124 | cyr_word_009205,ahh1445.png | ahh3907.png
8124,2,train_source,1,положения,cyr_word_008125 | cyr_word_009206,ahh1447.png | ahh3909.png
8125,2,train_source,1,должно,cyr_word_008126 | cyr_word_009208,ahh1450.png | ahh3912.png
8126,2,train_source,1,активно,cyr_word_008127 | cyr_word_009209,ahh1451.png | ahh3913.png
8127,2,train_source,1,фический,cyr_word_008128 | cyr_word_009210,ahh1453.png | ahh3915.png
8128,2,train_source,1,метод,cyr_word_008129 | cyr_word_009211,ahh1454.png | ahh3916.png
8129,2,train_source,1,экономи,cyr_word_008130 | cyr_word_009213,ahh1457.png | ahh3919.png
8130,2,train_source,2,стратегия || стрателия,cyr_word_008131 | cyr_word_009215,ahh1458.png | ahh3920.png
8133,2,train_source,1,полез,cyr_word_008134 | cyr_word_009219,ahh1466.png | ahh3928.png
8134,2,train_source,1,эпоха,cyr_word_008135 | cyr_word_009221,ahh1468.png | ahh3930.png
8135,2,train_source,1,монета,cyr_word_008136 | cyr_word_009222,ahh1469.png | ahh3931.png
8136,2,train_source,1,разв,cyr_word_008137 | cyr_word_009223,ahh1471.png | ahh3933.png
8137,2,train_source,1,это,cyr_word_008138 | cyr_word_009224,ahh1473.png | ahh3935.png
8139,2,train_source,1,добычи,cyr_word_008140 | cyr_word_009227,ahh1487.png | ahh3949.png
8141,2,train_source,1,разбор дз.,cyr_phrase_008142 | cyr_phrase_017704,ahh1490.png | aw1319.png
8151,2,train_source,1,глобальных,cyr_word_008152 | cyr_word_017923,ahh1658.png | aw924.png
8152,2,train_source,1,вычислительная,cyr_word_008153 | cyr_word_017928,ahh1663.png | aw929.png
8153,2,train_source,1,сеть,cyr_word_008154 | cyr_word_017930,ahh1664.png | aw930.png
8154,2,train_source,1,при,cyr_word_008155 | cyr_word_017933,ahh1667.png | aw933.png
8155,2,train_source,1,объединении,cyr_word_008156 | cyr_word_017934,ahh1668.png | aw934.png
8156,2,train_source,1,ватепей,cyr_word_008157 | cyr_word_017937,ahh1673.png | aw939.png
8161,2,train_source,1,которое,cyr_word_008162 | cyr_word_017954,ahh1691.png | aw957.png
8166,2,train_source,1,сетей,cyr_word_008167 | cyr_word_017964,ahh1701.png | aw967.png
8174,2,train_source,1,эвм,cyr_word_008175 | cyr_word_017980,ahh1720.png | aw986.png
8176,2,train_source,1,сред.,cyr_word_008177 | cyr_word_017991,ahh1733.png | aw999.png
8177,2,train_source,2,вание || вания,cyr_word_008178 | cyr_word_017597,ahh1736.png | aw1002.png
8178,2,train_source,1,сетям.,cyr_word_008179 | cyr_word_017598,ahh1740.png | aw1006.png
8181,3,train_source,1,решения,cyr_word_008182 | cyr_word_008829 | cyr_word_017604,ahh1754.png | ahh3224.png | aw1111.png
8182,3,train_source,1,что,cyr_word_008183 | cyr_word_008830 | cyr_word_017605,ahh1758.png | ahh3228.png | aw1115.png
8184,3,train_source,1,какие,cyr_word_008185 | cyr_word_008832 | cyr_word_017606,ahh1762.png | ahh3232.png | aw1119.png
8185,3,train_source,1,именно,cyr_word_008186 | cyr_word_008833 | cyr_word_017608,ahh1763.png | ahh3233.png | aw1120.png
8186,2,train_source,1,блага,cyr_word_008187 | cyr_word_008834,ahh1764.png | ahh3234.png
8187,2,train_source,1,испо,cyr_word_008188 | cyr_word_008835,ahh1766.png | ahh3236.png
8188,2,train_source,1,кач,cyr_word_008189 | cyr_word_008836,ahh1767.png | ahh3237.png
8189,3,train_source,1,какого,cyr_word_008190 | cyr_word_008838 | cyr_word_017609,ahh1771.png | ahh3241.png | aw1128.png
8190,3,train_source,1,природны,cyr_word_008191 | cyr_word_008839 | cyr_word_017610,ahh1772.png | ahh3242.png | aw1129.png
8191,2,train_source,1,вом,cyr_word_008192 | cyr_word_008840,ahh1774.png | ahh3244.png
8192,3,train_source,1,быть,cyr_word_008193 | cyr_word_008841 | cyr_word_017611,ahh1776.png | ahh3246.png | aw1133.png
8193,2,train_source,1,производить,cyr_word_008194 | cyr_word_008842,ahh1777.png | ahh3247.png
8194,2,train_source,1,маш. тех,cyr_phrase_008195 | cyr_phrase_017612,ahh1778.png | aw1135.png
8195,2,train_source,1,потребности,cyr_word_008196 | cyr_word_008843,ahh1779.png | ahh3249.png
8197,3,train_source,1,(голосование,cyr_word_008198 | cyr_word_008845 | cyr_word_017613,ahh1780.png | ahh3250.png | aw1137.png
8198,2,train_source,1,путем,cyr_word_008199 | cyr_word_008846,ahh1781.png | ahh3251.png
8199,3,train_source,1,общества,cyr_word_008200 | cyr_word_008847 | cyr_word_017614,ahh1782.png | ahh3252.png | aw1139.png
8200,3,train_source,1,финансовые,cyr_word_008201 | cyr_word_008848 | cyr_word_017615,ahh1783.png | ahh3253.png | aw1140.png
8201,2,train_source,1,(безграничны),cyr_word_008202 | cyr_word_008849,ahh1784.png | ahh3254.png
8202,2,train_source,1,ресурсы,cyr_word_008203 | cyr_word_008850,ahh1785.png | ahh3255.png
8203,2,train_source,1,как,cyr_word_008204 | cyr_word_008851,ahh1786.png | ahh3256.png
8204,3,train_source,1,производить,cyr_word_008205 | cyr_word_008852 | cyr_word_017616,ahh1787.png | ahh3257.png | aw1144.png
8205,3,train_source,1,решения,cyr_word_008206 | cyr_word_008854 | cyr_word_017617,ahh1789.png | ahh3259.png | aw1146.png
8207,3,train_source,1,проблема,cyr_word_008208 | cyr_word_008856 | cyr_word_017618,ahh1792.png | ahh3262.png | aw1149.png
8208,3,train_source,1,помощью,cyr_word_008209 | cyr_word_008858 | cyr_word_017620,ahh1794.png | ahh3264.png | aw1151.png
8209,2,train_source,1,что,cyr_word_008210 | cyr_word_008861,ahh1797.png | ahh3267.png
8210,2,train_source,1,производиться,cyr_word_008211 | cyr_word_008862,ahh1798.png | ahh3268.png
8211,3,train_source,1,товары,cyr_word_008212 | cyr_word_008863 | cyr_word_017622,ahh1799.png | ahh3269.png | aw1156.png
8212,3,train_source,1,как,cyr_word_008213 | cyr_word_008865 | cyr_word_017623,ahh1800.png | ahh3270.png | aw1157.png
8213,2,train_source,1,будут,cyr_word_008214 | cyr_word_008866,ahh1801.png | ahh3271.png
8214,3,train_source,1,кого,cyr_word_008215 | cyr_word_008867 | cyr_word_017624,ahh1802.png | ahh3272.png | aw1159.png
8216,2,train_source,1,технологии,cyr_word_008217 | cyr_word_008868,ahh1804.png | ahh3274.png
8217,3,train_source,1,сколь,cyr_word_008218 | cyr_word_008869 | cyr_word_017626,ahh1805.png | ahh3275.png | aw1162.png
8218,3,train_source,1,какои,cyr_word_008219 | cyr_word_008870 | cyr_word_017627,ahh1807.png | ahh3277.png | aw1164.png
8219,2,train_source,1,возмож,cyr_word_008220 | cyr_word_008871,ahh1809.png | ahh3279.png
8220,2,train_source,1,цене,cyr_word_008221 | cyr_word_008873,ahh1810.png | ahh3280.png
8221,3,train_source,1,во товаров,cyr_phrase_008222 | cyr_phrase_008874 | cyr_phrase_017628,ahh1812.png | ahh3282.png | aw1169.png
8222,2,train_source,1,и услуг,cyr_phrase_008223 | cyr_phrase_008875,ahh1813.png | ahh3283.png
8223,2,train_source,1,которые,cyr_word_008224 | cyr_word_008876,ahh1814.png | ahh3284.png
8224,3,train_source,1,экономическая,cyr_word_008225 | cyr_word_008877 | cyr_word_017629,ahh1815.png | ahh3285.png | aw1172.png
8225,2,train_source,1,парадигма,cyr_word_008226 | cyr_word_008878,ahh1816.png | ahh3286.png
8226,3,train_source,1,может,cyr_word_008227 | cyr_word_008879 | cyr_word_017630,ahh1817.png | ahh3287.png | aw1174.png
8227,3,train_source,1,быть,cyr_word_008228 | cyr_word_008880 | cyr_word_017631,ahh1818.png | ahh3288.png | aw1175.png
8229,3,train_source,1,что-то,cyr_word_008230 | cyr_word_008882 | cyr_word_017633,ahh1821.png | ahh3291.png | aw1178.png
8230,3,train_source,1,новое,cyr_word_008231 | cyr_word_008883 | cyr_word_017634,ahh1822.png | ahh3292.png | aw1179.png
8231,3,train_source,1,кия,cyr_word_008232 | cyr_word_008884 | cyr_word_017636,ahh1823.png | ahh3293.png | aw1180.png
8232,3,train_source,1,определ,cyr_word_008233 | cyr_word_008886 | cyr_word_017637,ahh1826.png | ahh3296.png | aw1183.png
8233,3,train_source,1,при,cyr_word_008234 | cyr_word_008887 | cyr_word_017638,ahh1827.png | ahh3297.png | aw1184.png
8234,2,train_source,1,данных ресурсах,cyr_phrase_008235 | cyr_phrase_008888,ahh1828.png | ahh3298.png
8235,2,train_source,1,и технологий,cyr_phrase_008236 | cyr_phrase_008890,ahh1830.png | ahh3300.png
8236,3,train_source,1,экономически,cyr_word_008237 | cyr_word_008891 | cyr_word_017639,ahh1832.png | ahh3302.png | aw1189.png
8238,3,train_source,1,технологии,cyr_word_008239 | cyr_word_008892 | cyr_word_017640,ahh1836.png | ahh3306.png | aw1193.png
8239,3,train_source,1,рудовые,cyr_word_008240 | cyr_word_008893 | cyr_word_017641,ahh1838.png | ahh3308.png | aw1195.png
8240,2,train_source,1,обществу,cyr_word_008241 | cyr_word_008894,ahh1843.png | ahh3313.png
8241,2,train_source,1,альтора,cyr_word_008242 | cyr_word_008895,ahh1846.png | ahh3316.png
8242,2,train_source,1,числовых,cyr_word_008243 | cyr_word_017798,ahh1851.png | aw72.png
8243,2,train_source,1,данных.,cyr_word_008244 | cyr_word_017800,ahh1852.png | aw73.png
8245,2,train_source,1,шуро-,cyr_word_008246 | cyr_word_017804,ahh1857.png | aw78.png
8246,2,train_source,1,числовых,cyr_word_008247 | cyr_word_017806,ahh1858.png | aw79.png
8250,2,train_source,1,иность,cyr_word_008251 | cyr_word_017929,ahh1872.png | aw93.png
8252,2,train_source,1,иность,cyr_word_008253 | cyr_word_017607,ahh1891.png | aw112.png
8256,2,train_source,1,обоз,cyr_word_008257 | cyr_word_017706,ahh1912.png | aw133.png
8260,3,train_source,1,сколько,cyr_word_008261 | cyr_word_008723 | cyr_word_017644,ahh193.png | ahh3066.png | aw1206.png
8261,2,train_source,1,волчная,cyr_word_008262 | cyr_word_017715,ahh1931.png | aw152.png
8269,3,train_source,1,цене,cyr_word_008270 | cyr_word_008725 | cyr_word_017646,ahh196.png | ahh3069.png | aw1209.png
8270,2,train_source,1,формы,cyr_word_008271 | cyr_word_017724,ahh1965.png | aw186.png
8271,2,train_source,1,образова,cyr_word_008272 | cyr_word_008727,ahh197.png | ahh3070.png
8272,2,train_source,2,пассивная || пасывная,cyr_word_008273 | cyr_word_017727,ahh1975.png | aw196.png
8273,2,train_source,1,форма,cyr_word_008274 | cyr_word_017728,ahh1982.png | aw203.png
8277,2,train_source,1,общества.,cyr_word_008278 | cyr_word_017729,ahh1992.png | aw213.png
8278,2,train_source,1,ность,cyr_word_008279 | cyr_word_017730,ahh1994.png | aw215.png
8280,2,train_source,1,работать,cyr_word_008281 | cyr_word_017732,ahh2003.png | aw224.png
8281,2,train_source,1,вопрос,cyr_word_008282 | cyr_word_017733,ahh2008.png | aw229.png
8282,3,train_source,1,для,cyr_word_008283 | cyr_word_008729 | cyr_word_017648,ahh201.png | ahh3074.png | aw1214.png
8286,3,train_source,1,ская,cyr_word_008287 | cyr_word_008730 | cyr_word_017649,ahh203.png | ahh3076.png | aw1216.png
8287,2,train_source,1,ранных,cyr_word_008288 | cyr_word_017735,ahh2037.png | aw258.png
8289,3,train_source,1,прикладная,cyr_word_008290 | cyr_word_008731 | cyr_word_017650,ahh204.png | ahh3077.png | aw1217.png
8300,3,train_source,1,налоги,cyr_word_008301 | cyr_word_008733 | cyr_word_017652,ahh207.png | ahh3080.png | aw1220.png
