sample_id,split,audit_cell,selection_reason,dataset,image_path,target,pred,best_variant,fix_grade,real_ink_erased,border_artifact_after,skeleton_follows_ink_after,notes,previous_best_variant,previous_fix_grade,previous_real_ink_erased,previous_border_artifact_after,previous_skeleton_follows_ink_after,previous_notes
school_notebooks_test_0300946,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0300946.png,12,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_test_0302205,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0302205.png,не,,,,,,,,rgb_whitebalance_flat_hysteresis,bad_fix,0,1,1,"dark_image_rescued
background_rim"
school_notebooks_test_0304902,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0304902.png,4/2,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim"
school_notebooks_test_0305318,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0305318.png,радостные,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim"
school_notebooks_test_0306634,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0306634.png,прил,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim"
school_notebooks_test_0312235,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0312235.png,дожили,,,,,,,,global_dark_120,good_fix,0,0,1,too_thick
school_notebooks_test_0316345,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0316345.png,ед ч.),,,,,,,,global_dark_120,good_fix,0,0,1,
school_notebooks_test_0318445,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0318445.png,бумаге,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,too_thick
school_notebooks_test_0321344,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0321344.png,год,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,
school_notebooks_test_0321374,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0321374.png,очень,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim"
