sample_id,dataset,level,issue_type,severity,message,image_path,transcription,suggested_action
hkr_forms_page_000001,hkr_forms,form_page,mixed_script,warning,mixed_script,data/processed/hkr_forms/images/0/hkr_forms_page_000001.jpg,"Шёл человек. долго, долго. Нам это В густой лощине Верней, волчицу, Она лежала в Откинув лапы Из горла Толчками кровь, Кем? Кем? Волкoм? Слепым волчатам Они, толкаясь Большую Голодные волчата Как властно пахнет Они, прижавшись Густую холодеющую С глотками в них Кому? Любому. И будут мстить Не вместе. Друг другу И человек пошёл Куда?.. Зачем?.. Он был волчатник, Ребят уже не Шёл степью, Куда? Зачем? не узнать. он увидел волка, А, точнее, мать... зарослях полыни, и оскалив пасть. перехваченного плыла густая, словно грязь. Охотничьими псами? это не узнать. и ворча, сосали неподатливую мать. позабыли, в зарослях укроп. к маме, жадно пили кровь. входила жажда мести. Лишь бы не простить. В отдельности, А встретятся – будут мстить. своей дорогой. Нам это не узнать. Но волчат не тронул, защищала мать...",manual_review
hkr_forms_page_000002,hkr_forms,form_page,mixed_script,warning,mixed_script,data/processed/hkr_forms/images/0/hkr_forms_page_000002.jpg,"Шёл человек. долго, долго. Нам это В густой лощине Верней, волчицу, Она лежала в Откинув лапы Из горла Толчками кровь, Кем? Кем? Волкoм? Слепым волчатам Они, толкаясь Большую Голодные волчата Как властно пахнет Они, прижавшись Густую холодеющую С глотками в них Кому? Любому. И будут мстить Не вместе. Друг другу И человек пошёл Куда?.. Зачем?.. Он был волчатник, Ребят уже не Шёл степью, Куда? Зачем? не узнать. он увидел волка, А, точнее, мать... зарослях полыни, и оскалив пасть. перехваченного плыла густая, словно грязь. Охотничьими псами? это не узнать. и ворча, сосали неподатливую мать. позабыли, в зарослях укроп. к маме, жадно пили кровь. входила жажда мести. Лишь бы не простить. В отдельности, А встретятся – будут мстить. своей дорогой. Нам это не узнать. Но волчат не тронул, защищала мать...",manual_review
hkr_forms_page_000003,hkr_forms,form_page,mixed_script,warning,mixed_script,data/processed/hkr_forms/images/0/hkr_forms_page_000003.jpg,"Шёл человек. долго, долго. Нам это В густой лощине Верней, волчицу, Она лежала в Откинув лапы Из горла Толчками кровь, Кем? Кем? Волкoм? Слепым волчатам Они, толкаясь Большую Голодные волчата Как властно пахнет Они, прижавшись Густую холодеющую С глотками в них Кому? Любому. И будут мстить Не вместе. Друг другу И человек пошёл Куда?.. Зачем?.. Он был волчатник, Ребят уже не Шёл степью, Куда? Зачем? не узнать. он увидел волка, А, точнее, мать... зарослях полыни, и оскалив пасть. перехваченного плыла густая, словно грязь. Охотничьими псами? это не узнать. и ворча, сосали неподатливую мать. позабыли, в зарослях укроп. к маме, жадно пили кровь. входила жажда мести. Лишь бы не простить. В отдельности, А встретятся – будут мстить. своей дорогой. Нам это не узнать. Но волчат не тронул, защищала мать...",manual_review
hkr_forms_page_000004,hkr_forms,form_page,mixed_script,warning,mixed_script,data/processed/hkr_forms/images/0/hkr_forms_page_000004.jpg,"Шёл человек. долго, долго. Нам это В густой лощине Верней, волчицу, Она лежала в Откинув лапы Из горла Толчками кровь, Кем? Кем? Волкoм? Слепым волчатам Они, толкаясь Большую Голодные волчата Как властно пахнет Они, прижавшись Густую холодеющую С глотками в них Кому? Любому. И будут мстить Не вместе. Друг другу И человек пошёл Куда?.. Зачем?.. Он был волчатник, Ребят уже не Шёл степью, Куда? Зачем? не узнать. он увидел волка, А, точнее, мать... зарослях полыни, и оскалив пасть. перехваченного плыла густая, словно грязь. Охотничьими псами? это не узнать. и ворча, сосали неподатливую мать. позабыли, в зарослях укроп. к маме, жадно пили кровь. входила жажда мести. Лишь бы не простить. В отдельности, А встретятся – будут мстить. своей дорогой. Нам это не узнать. Но волчат не тронул, защищала мать...",manual_review
hkr_forms_page_000005,hkr_forms,form_page,mixed_script,warning,mixed_script,data/processed/hkr_forms/images/0/hkr_forms_page_000005.jpg,"Шёл человек. долго, долго. Нам это В густой лощине Верней, волчицу, Она лежала в Откинув лапы Из горла Толчками кровь, Кем? Кем? Волкoм? Слепым волчатам Они, толкаясь Большую Голодные волчата Как властно пахнет Они, прижавшись Густую холодеющую С глотками в них Кому? Любому. И будут мстить Не вместе. Друг другу И человек пошёл Куда?.. Зачем?.. Он был волчатник, Ребят уже не Шёл степью, Куда? Зачем? не узнать. он увидел волка, А, точнее, мать... зарослях полыни, и оскалив пасть. перехваченного плыла густая, словно грязь. Охотничьими псами? это не узнать. и ворча, сосали неподатливую мать. позабыли, в зарослях укроп. к маме, жадно пили кровь. входила жажда мести. Лишь бы не простить. В отдельности, А встретятся – будут мстить. своей дорогой. Нам это не узнать. Но волчат не тронул, защищала мать...",manual_review
hkr_forms_page_000006,hkr_forms,form_page,mixed_script,warning,mixed_script,data/processed/hkr_forms/images/0/hkr_forms_page_000006.jpg,"Шёл человек. долго, долго. Нам это В густой лощине Верней, волчицу, Она лежала в Откинув лапы Из горла Толчками кровь, Кем? Кем? Волкoм? Слепым волчатам Они, толкаясь Большую Голодные волчата Как властно пахнет Они, прижавшись Густую холодеющую С глотками в них Кому? Любому. И будут мстить Не вместе. Друг другу И человек пошёл Куда?.. Зачем?.. Он был волчатник, Ребят уже не Шёл степью, Куда? Зачем? не узнать. он увидел волка, А, точнее, мать... зарослях полыни, и оскалив пасть. перехваченного плыла густая, словно грязь. Охотничьими псами? это не узнать. и ворча, сосали неподатливую мать. позабыли, в зарослях укроп. к маме, жадно пили кровь. входила жажда мести. Лишь бы не простить. В отдельности, А встретятся – будут мстить. своей дорогой. Нам это не узнать. Но волчат не тронул, защищала мать...",manual_review
hkr_forms_page_000007,hkr_forms,form_page,mixed_script,warning,mixed_script,data/processed/hkr_forms/images/0/hkr_forms_page_000007.jpg,"Шёл человек. долго, долго. Нам это В густой лощине Верней, волчицу, Она лежала в Откинув лапы Из горла Толчками кровь, Кем? Кем? Волкoм? Слепым волчатам Они, толкаясь Большую Голодные волчата Как властно пахнет Они, прижавшись Густую холодеющую С глотками в них Кому? Любому. И будут мстить Не вместе. Друг другу И человек пошёл Куда?.. Зачем?.. Он был волчатник, Ребят уже не Шёл степью, Куда? Зачем? не узнать. он увидел волка, А, точнее, мать... зарослях полыни, и оскалив пасть. перехваченного плыла густая, словно грязь. Охотничьими псами? это не узнать. и ворча, сосали неподатливую мать. позабыли, в зарослях укроп. к маме, жадно пили кровь. входила жажда мести. Лишь бы не простить. В отдельности, А встретятся – будут мстить. своей дорогой. Нам это не узнать. Но волчат не тронул, защищала мать...",manual_review
hkr_forms_page_000008,hkr_forms,form_page,mixed_script,warning,mixed_script,data/processed/hkr_forms/images/0/hkr_forms_page_000008.jpg,"Шёл человек. долго, долго. Нам это В густой лощине Верней, волчицу, Она лежала в Откинув лапы Из горла Толчками кровь, Кем? Кем? Волкoм? Слепым волчатам Они, толкаясь Большую Голодные волчата Как властно пахнет Они, прижавшись Густую холодеющую С глотками в них Кому? Любому. И будут мстить Не вместе. Друг другу И человек пошёл Куда?.. Зачем?.. Он был волчатник, Ребят уже не Шёл степью, Куда? Зачем? не узнать. он увидел волка, А, точнее, мать... зарослях полыни, и оскалив пасть. перехваченного плыла густая, словно грязь. Охотничьими псами? это не узнать. и ворча, сосали неподатливую мать. позабыли, в зарослях укроп. к маме, жадно пили кровь. входила жажда мести. Лишь бы не простить. В отдельности, А встретятся – будут мстить. своей дорогой. Нам это не узнать. Но волчат не тронул, защищала мать...",manual_review
hkr_forms_page_000009,hkr_forms,form_page,mixed_script,warning,mixed_script,data/processed/hkr_forms/images/0/hkr_forms_page_000009.jpg,"Шёл человек. долго, долго. Нам это В густой лощине Верней, волчицу, Она лежала в Откинув лапы Из горла Толчками кровь, Кем? Кем? Волкoм? Слепым волчатам Они, толкаясь Большую Голодные волчата Как властно пахнет Они, прижавшись Густую холодеющую С глотками в них Кому? Любому. И будут мстить Не вместе. Друг другу И человек пошёл Куда?.. Зачем?.. Он был волчатник, Ребят уже не Шёл степью, Куда? Зачем? не узнать. он увидел волка, А, точнее, мать... зарослях полыни, и оскалив пасть. перехваченного плыла густая, словно грязь. Охотничьими псами? это не узнать. и ворча, сосали неподатливую мать. позабыли, в зарослях укроп. к маме, жадно пили кровь. входила жажда мести. Лишь бы не простить. В отдельности, А встретятся – будут мстить. своей дорогой. Нам это не узнать. Но волчат не тронул, защищала мать...",manual_review
hkr_forms_page_000010,hkr_forms,form_page,mixed_script,warning,mixed_script,data/processed/hkr_forms/images/0/hkr_forms_page_000010.jpg,"Шёл человек. долго, долго. Нам это В густой лощине Верней, волчицу, Она лежала в Откинув лапы Из горла Толчками кровь, Кем? Кем? Волкoм? Слепым волчатам Они, толкаясь Большую Голодные волчата Как властно пахнет Они, прижавшись Густую холодеющую С глотками в них Кому? Любому. И будут мстить Не вместе. Друг другу И человек пошёл Куда?.. Зачем?.. Он был волчатник, Ребят уже не Шёл степью, Куда? Зачем? не узнать. он увидел волка, А, точнее, мать... зарослях полыни, и оскалив пасть. перехваченного плыла густая, словно грязь. Охотничьими псами? это не узнать. и ворча, сосали неподатливую мать. позабыли, в зарослях укроп. к маме, жадно пили кровь. входила жажда мести. Лишь бы не простить. В отдельности, А встретятся – будут мстить. своей дорогой. Нам это не узнать. Но волчат не тронул, защищала мать...",manual_review
