required_id,group,description,path_hint,status,matched_paths_n,summary_paths,checkpoint_paths,problems
image_only_baseline_seed42,primary,"Canonical image-only baseline, seed 42.",tri10k_image_only,found,125,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_test_final/summary.json;outputs/htr_graph_v1/eval_tri10k_image_only_v1_school_notebooks_clean_test_final/summary.json;outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_5k_context_v1_test_final/summary.json;outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed44_test_final/summary.json;outputs/htr_graph_v1/sweep_tri10k_image_only_v1_val/penalty_m0p1/summary.json,outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_2k_context_v1/best.pt;outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_10k_context_v1/best.pt;outputs/htr_graph_v1/tri10k_image_only_v1_seed43/best.pt;outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_5k_context_v1/best.pt;outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_10k_context_v1_seed43/best.pt,
image_only_plus_10k_seed42,primary,"Canonical +10k natural-line augmentation, seed 42.",tri10k_image_only_plus_school_lines_10k_context,found,24,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_test_final/summary.json;outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed43_test_final/summary.json;outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed44_test_final/summary.json,outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_10k_context_v1/best.pt;outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_10k_context_v1_seed43/best.pt;outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_10k_context_v1_seed44/best.pt,
image_only_baseline_seed43,primary_missing_or_pending,"Seed confirmation baseline, seed 43.",seed43,found,16,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed43_test_final/summary.json;outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed43_test_final/summary.json,outputs/htr_graph_v1/tri10k_image_only_v1_seed43/best.pt;outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_10k_context_v1_seed43/best.pt,
image_only_plus_10k_seed43,primary_missing_or_pending,"Seed confirmation +10k, seed 43.",10k_context_v1_seed43,found,8,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed43_test_final/summary.json,outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_10k_context_v1_seed43/best.pt,
image_only_baseline_seed44,primary_missing_or_pending,"Seed confirmation baseline, seed 44.",seed44,found,16,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed44_test_final/summary.json;outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed44_test_final/summary.json,outputs/htr_graph_v1/tri10k_image_only_v1_seed44/best.pt;outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_10k_context_v1_seed44/best.pt,
image_only_plus_10k_seed44,primary_missing_or_pending,"Seed confirmation +10k, seed 44.",10k_context_v1_seed44,found,8,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed44_test_final/summary.json,outputs/htr_graph_v1/tri10k_image_only_plus_school_lines_10k_context_v1_seed44/best.pt,
line_aug_dose_response,primary,"Dose-response comparison: baseline, +2k, +5k, +10k.",line_aug_dose_response,found,6,outputs/htr_graph_v1/line_aug_dose_response_context_v1/summary.json,,
paired_5k_vs_10k,secondary,Paired comparison between +5k and +10k.,paired_5k_vs_10k,found,2,,,
structural_gold,diagnostic,Structural gold diagnostic usability subset.,structural_gold,found,19,,,
selective_prediction,secondary,Confidence / graph diagnostics selective prediction.,selective,found,30,,,
graph_fusion_exploratory,exploratory,Graph-fusion / graph-aware HTR exploratory results.,graph_fusion,found,230,outputs/htr_graph_v1/eval_tri10k_graph_fusion_v3_normtopo_cyrillic_handwriting_val_final/summary.json;outputs/htr_graph_v1/sweep_tri10k_graph_fusion_v3_normtopo_val/penalty_m0p1/summary.json;outputs/htr_graph_v1/sweep_tri10k_graph_fusion_v3_normtopo_val/penalty_m1p1/summary.json;outputs/htr_graph_v1/sweep_tri10k_graph_fusion_v3_normtopo_val/penalty_0p0/summary.json;outputs/htr_graph_v1/sweep_tri10k_graph_fusion_v3_normtopo_val/penalty_m0p8/summary.json,outputs/htr_graph_v1/tri10k_graph_fusion_v3_school_fg_auto/best.pt;outputs/htr_graph_v1/tri10k_graph_fusion_plus_school_lines_10k_context_v1/best.pt;outputs/htr_graph_v1/tri10k_graph_fusion_v2_lowcap_all/best.pt;outputs/htr_graph_v1/tri10k_graph_fusion_v1/best.pt;outputs/htr_graph_v1/tri10k_graph_fusion_v3_normtopo/best.pt,
